5393,2008-02-06,Double Jeopardy!,"FROM THE FRENCH","$2000","From the French for ""caper"", it's a curved furniture leg that often tapers to a paw","cabriole"
5393,2008-02-06,Final Jeopardy!,"WORLD AUTHORS","None","In 1898 he wrote, ""As for the persons I have accused... they are... embodiments of social malfeasance""","Émile Zola"
4493,2004-03-03,Jeopardy!,"2003 NOBEL PRIZE WINNERS","$200","Robert Engle & Clive Granger earned this prize for their new statistical models for financial data","Economics"
4493,2004-03-03,Jeopardy!,"LITERARY POP","$200","Welsh singer Thomas John Woodward became this after his boss compared him to a Henry Fielding character","Tom Jones"
4493,2004-03-03,Jeopardy!,"GHOST","$200","Ashcroft, Colorado & Jerome, Arizona are 2 examples of these ""spiritual"" communities","ghost towns"
4493,2004-03-03,Jeopardy!,"WE LOVE L.A.","$200","(Sarah of the Clue Crew)  According to legend this star of ""Citizen Kane"" set a record by eating 18 of Pink's famous hot dogs at one sitting","Orson Welles"
4493,2004-03-03,Jeopardy!,"A THOUSAND SOMETHING","$200","At 1,864 square miles, it's much bigger than its neighbor Tobago","Trinidad"
4493,2004-03-03,Jeopardy!,"RHYME TIME","$200","$1.99 for a box of Uncle Ben's","rice price"
4493,2004-03-03,Jeopardy!,"2003 NOBEL PRIZE WINNERS","$400","Of both Boer & English descent, J.M. Coetzee of this country won the Nobel for Literature","South Africa"
4493,2004-03-03,Jeopardy!,"LITERARY POP","$400","This techno musician got his name from a book about a big ocean mammal","Moby"
4493,2004-03-03,Jeopardy!,"GHOST","$400","The well-known Drury Lane Theatre in this capital city is equally well-known for its ghosts","London"
4493,2004-03-03,Jeopardy!,"WE LOVE L.A.","$400","(Cheryl of the Clue Crew)  It's the alliterative name for this stretch of boulevard featuring clubs like the Whiskey-A-Go-Go","the Sunset Strip"
4493,2004-03-03,Jeopardy!,"A THOUSAND SOMETHING","$400","His term as U.S. president was just 1,036 days","John F. Kennedy"
4493,2004-03-03,Jeopardy!,"RHYME TIME","$400","A chilly swimming basin","cool pool"
4493,2004-03-03,Jeopardy!,"2003 NOBEL PRIZE WINNERS","$600","Abriskosov, Ginzburg & Leggett fielded this award for their work with quantum superconductivity","Physics"
4493,2004-03-03,Jeopardy!,"LITERARY POP","$600","The band Veruca Salt took its name from the spoiled rich girl in this Roald Dahl children's book","Charlie and the Chocolate Factory"
4493,2004-03-03,Jeopardy!,"GHOST","$600","The ghost of the first Duke of Buckingham has been seen at this royal residence, burial place of Henry VIII","Windsor Castle"
4493,2004-03-03,Jeopardy!,"WE LOVE L.A.","$600","(Sofia of the Clue Crew)  Edgar Rice Burroughs bought 550 acres in what's now Tarzana, California, the year after this first ""Tarzan"" movie came out","Tarzan of the Apes"
4493,2004-03-03,Jeopardy!,"A THOUSAND SOMETHING","$1,000","There are mille six cent soixante-cinq steps to the top of this famous landmark","the Eiffel Tower"
4493,2004-03-03,Jeopardy!,"RHYME TIME","$600","A large, noisy group of people","loud crowd"
4493,2004-03-03,Jeopardy!,"2003 NOBEL PRIZE WINNERS","$800","John Paul II was the favorite, but Shirin Ebadi, a female Muslim from this country, took home the Peace Prize","Iran"
4493,2004-03-03,Jeopardy!,"LITERARY POP","$800","This band was born to be wild enough to take its name from a Herman Hesse novel","Steppenwolf"
4493,2004-03-03,Jeopardy!,"GHOST","$800","The first ghost to appear to Scrooge in ""A Christmas Carol"" is of this dead partner of his","(Jacob) Marley"
4493,2004-03-03,Jeopardy!,"WE LOVE L.A.","$800","(Sofia)  Very busy as it moves through L.A., the 405 freeway is named for this big city to the south","San Diego"
4493,2004-03-03,Jeopardy!,"A THOUSAND SOMETHING","$800","To travel at a speed of 1,037 miles per hour just stand on the Earth anywhere along this","the Equator"
4493,2004-03-03,Jeopardy!,"RHYME TIME","$800","Where to hide your sodium chloride","salt vault"
